"Var1","Var2","value","index","lat","lon"
"r1","c1","Other","r1-c1",22.5,22.5
"r2","c1","Other","r2-c1",17.5,22.5
"r3","c1","Other","r3-c1",12.5,22.5
"r4","c1","Other","r4-c1",7.5,22.5
"r5","c1","Other","r5-c1",2.5,22.5
"r6","c1","Other","r6-c1",-2.5,22.5
"r7","c1","Other","r7-c1",-7.5,22.5
"r8","c1","R2","r8-c1",-12.5,22.5
"r9","c1","R2","r9-c1",-17.5,22.5
"r10","c1","R2","r10-c1",-22.5,22.5
"r11","c1","R2","r11-c1",-27.5,22.5
"r12","c1","R2","r12-c1",-32.5,22.5
"r13","c1","R2","r13-c1",-37.5,22.5
"r1","c2","Other","r1-c2",22.5,27.5
"r2","c2","Other","r2-c2",17.5,27.5
"r3","c2","Other","r3-c2",12.5,27.5
"r4","c2","Other","r4-c2",7.5,27.5
"r5","c2","Other","r5-c2",2.5,27.5
"r6","c2","Other","r6-c2",-2.5,27.5
"r7","c2","Other","r7-c2",-7.5,27.5
"r8","c2","R2","r8-c2",-12.5,27.5
"r9","c2","R2","r9-c2",-17.5,27.5
"r10","c2","R2","r10-c2",-22.5,27.5
"r11","c2","R2","r11-c2",-27.5,27.5
"r12","c2","R2","r12-c2",-32.5,27.5
"r13","c2","R2","r13-c2",-37.5,27.5
"r1","c3","Other","r1-c3",22.5,32.5
"r2","c3","Other","r2-c3",17.5,32.5
"r3","c3","Other","r3-c3",12.5,32.5
"r4","c3","Other","r4-c3",7.5,32.5
"r5","c3","Other","r5-c3",2.5,32.5
"r6","c3","Other","r6-c3",-2.5,32.5
"r7","c3","Other","r7-c3",-7.5,32.5
"r8","c3","R2","r8-c3",-12.5,32.5
"r9","c3","R2","r9-c3",-17.5,32.5
"r10","c3","R2","r10-c3",-22.5,32.5
"r11","c3","R2","r11-c3",-27.5,32.5
"r12","c3","R2","r12-c3",-32.5,32.5
"r13","c3","R2","r13-c3",-37.5,32.5
"r1","c4","Other","r1-c4",22.5,37.5
"r2","c4","Other","r2-c4",17.5,37.5
"r3","c4","Other","r3-c4",12.5,37.5
"r4","c4","Other","r4-c4",7.5,37.5
"r5","c4","Other","r5-c4",2.5,37.5
"r6","c4","R1b","r6-c4",-2.5,37.5
"r7","c4","R1b","r7-c4",-7.5,37.5
"r8","c4","R2","r8-c4",-12.5,37.5
"r9","c4","R2","r9-c4",-17.5,37.5
"r10","c4","R2","r10-c4",-22.5,37.5
"r11","c4","R2","r11-c4",-27.5,37.5
"r12","c4","R2","r12-c4",-32.5,37.5
"r13","c4","R2","r13-c4",-37.5,37.5
"r1","c5","R1a","r1-c5",22.5,42.5
"r2","c5","R1a","r2-c5",17.5,42.5
"r3","c5","R1a","r3-c5",12.5,42.5
"r4","c5","R1b","r4-c5",7.5,42.5
"r5","c5","R1b","r5-c5",2.5,42.5
"r6","c5","R1b","r6-c5",-2.5,42.5
"r7","c5","R1b","r7-c5",-7.5,42.5
"r8","c5","R2","r8-c5",-12.5,42.5
"r9","c5","R2","r9-c5",-17.5,42.5
"r10","c5","R2","r10-c5",-22.5,42.5
"r11","c5","R2","r11-c5",-27.5,42.5
"r12","c5","R3","r12-c5",-32.5,42.5
"r13","c5","R3","r13-c5",-37.5,42.5
"r1","c6","R1a","r1-c6",22.5,47.5
"r2","c6","R1a","r2-c6",17.5,47.5
"r3","c6","R1a","r3-c6",12.5,47.5
"r4","c6","R1b","r4-c6",7.5,47.5
"r5","c6","R1b","r5-c6",2.5,47.5
"r6","c6","R1b","r6-c6",-2.5,47.5
"r7","c6","R1b","r7-c6",-7.5,47.5
"r8","c6","R2","r8-c6",-12.5,47.5
"r9","c6","R2","r9-c6",-17.5,47.5
"r10","c6","R2","r10-c6",-22.5,47.5
"r11","c6","R2","r11-c6",-27.5,47.5
"r12","c6","R3","r12-c6",-32.5,47.5
"r13","c6","R3","r13-c6",-37.5,47.5
"r1","c7","R1a","r1-c7",22.5,52.5
"r2","c7","R1a","r2-c7",17.5,52.5
"r3","c7","R1a","r3-c7",12.5,52.5
"r4","c7","R1b","r4-c7",7.5,52.5
"r5","c7","R1b","r5-c7",2.5,52.5
"r6","c7","R1b","r6-c7",-2.5,52.5
"r7","c7","R1b","r7-c7",-7.5,52.5
"r8","c7","R2","r8-c7",-12.5,52.5
"r9","c7","R2","r9-c7",-17.5,52.5
"r10","c7","R2","r10-c7",-22.5,52.5
"r11","c7","R2","r11-c7",-27.5,52.5
"r12","c7","R3","r12-c7",-32.5,52.5
"r13","c7","R3","r13-c7",-37.5,52.5
"r1","c8","R1a","r1-c8",22.5,57.5
"r2","c8","R1a","r2-c8",17.5,57.5
"r3","c8","R1a","r3-c8",12.5,57.5
"r4","c8","R1b","r4-c8",7.5,57.5
"r5","c8","R1b","r5-c8",2.5,57.5
"r6","c8","R1b","r6-c8",-2.5,57.5
"r7","c8","R1b","r7-c8",-7.5,57.5
"r8","c8","R2","r8-c8",-12.5,57.5
"r9","c8","R2","r9-c8",-17.5,57.5
"r10","c8","R2","r10-c8",-22.5,57.5
"r11","c8","R2","r11-c8",-27.5,57.5
"r12","c8","R3","r12-c8",-32.5,57.5
"r13","c8","R3","r13-c8",-37.5,57.5
"r1","c9","R1a","r1-c9",22.5,62.5
"r2","c9","R1a","r2-c9",17.5,62.5
"r3","c9","R1a","r3-c9",12.5,62.5
"r4","c9","R1b","r4-c9",7.5,62.5
"r5","c9","R1b","r5-c9",2.5,62.5
"r6","c9","R1b","r6-c9",-2.5,62.5
"r7","c9","R1b","r7-c9",-7.5,62.5
"r8","c9","R1b","r8-c9",-12.5,62.5
"r9","c9","R3","r9-c9",-17.5,62.5
"r10","c9","R3","r10-c9",-22.5,62.5
"r11","c9","R3","r11-c9",-27.5,62.5
"r12","c9","R3","r12-c9",-32.5,62.5
"r13","c9","R3","r13-c9",-37.5,62.5
"r1","c10","R1a","r1-c10",22.5,67.5
"r2","c10","R1a","r2-c10",17.5,67.5
"r3","c10","R1a","r3-c10",12.5,67.5
"r4","c10","R1b","r4-c10",7.5,67.5
"r5","c10","R1b","r5-c10",2.5,67.5
"r6","c10","R1b","r6-c10",-2.5,67.5
"r7","c10","R1b","r7-c10",-7.5,67.5
"r8","c10","R1b","r8-c10",-12.5,67.5
"r9","c10","R3","r9-c10",-17.5,67.5
"r10","c10","R3","r10-c10",-22.5,67.5
"r11","c10","R3","r11-c10",-27.5,67.5
"r12","c10","R3","r12-c10",-32.5,67.5
"r13","c10","R3","r13-c10",-37.5,67.5
"r1","c11","R1a","r1-c11",22.5,72.5
"r2","c11","R1a","r2-c11",17.5,72.5
"r3","c11","R1a","r3-c11",12.5,72.5
"r4","c11","R1b","r4-c11",7.5,72.5
"r5","c11","R1b","r5-c11",2.5,72.5
"r6","c11","R1b","r6-c11",-2.5,72.5
"r7","c11","R1b","r7-c11",-7.5,72.5
"r8","c11","R1b","r8-c11",-12.5,72.5
"r9","c11","R3","r9-c11",-17.5,72.5
"r10","c11","R3","r10-c11",-22.5,72.5
"r11","c11","R3","r11-c11",-27.5,72.5
"r12","c11","R3","r12-c11",-32.5,72.5
"r13","c11","R3","r13-c11",-37.5,72.5
"r1","c12","Other","r1-c12",22.5,77.5
"r2","c12","R4","r2-c12",17.5,77.5
"r3","c12","R4","r3-c12",12.5,77.5
"r4","c12","R4","r4-c12",7.5,77.5
"r5","c12","R4","r5-c12",2.5,77.5
"r6","c12","R4","r6-c12",-2.5,77.5
"r7","c12","R4","r7-c12",-7.5,77.5
"r8","c12","R4","r8-c12",-12.5,77.5
"r9","c12","R3","r9-c12",-17.5,77.5
"r10","c12","R3","r10-c12",-22.5,77.5
"r11","c12","R3","r11-c12",-27.5,77.5
"r12","c12","R3","r12-c12",-32.5,77.5
"r13","c12","R3","r13-c12",-37.5,77.5
"r1","c13","Other","r1-c13",22.5,82.5
"r2","c13","R4","r2-c13",17.5,82.5
"r3","c13","R4","r3-c13",12.5,82.5
"r4","c13","R4","r4-c13",7.5,82.5
"r5","c13","R4","r5-c13",2.5,82.5
"r6","c13","R4","r6-c13",-2.5,82.5
"r7","c13","R4","r7-c13",-7.5,82.5
"r8","c13","R4","r8-c13",-12.5,82.5
"r9","c13","R3","r9-c13",-17.5,82.5
"r10","c13","R3","r10-c13",-22.5,82.5
"r11","c13","R3","r11-c13",-27.5,82.5
"r12","c13","R3","r12-c13",-32.5,82.5
"r13","c13","R3","r13-c13",-37.5,82.5
"r1","c14","Other","r1-c14",22.5,87.5
"r2","c14","R4","r2-c14",17.5,87.5
"r3","c14","R4","r3-c14",12.5,87.5
"r4","c14","R4","r4-c14",7.5,87.5
"r5","c14","R4","r5-c14",2.5,87.5
"r6","c14","R4","r6-c14",-2.5,87.5
"r7","c14","R4","r7-c14",-7.5,87.5
"r8","c14","R4","r8-c14",-12.5,87.5
"r9","c14","R3","r9-c14",-17.5,87.5
"r10","c14","R3","r10-c14",-22.5,87.5
"r11","c14","R3","r11-c14",-27.5,87.5
"r12","c14","R3","r12-c14",-32.5,87.5
"r13","c14","R3","r13-c14",-37.5,87.5
"r1","c15","Other","r1-c15",22.5,92.5
"r2","c15","R4","r2-c15",17.5,92.5
"r3","c15","R4","r3-c15",12.5,92.5
"r4","c15","R4","r4-c15",7.5,92.5
"r5","c15","R4","r5-c15",2.5,92.5
"r6","c15","R4","r6-c15",-2.5,92.5
"r7","c15","R4","r7-c15",-7.5,92.5
"r8","c15","R4","r8-c15",-12.5,92.5
"r9","c15","R3","r9-c15",-17.5,92.5
"r10","c15","R3","r10-c15",-22.5,92.5
"r11","c15","R3","r11-c15",-27.5,92.5
"r12","c15","R3","r12-c15",-32.5,92.5
"r13","c15","R3","r13-c15",-37.5,92.5
"r1","c16","Other","r1-c16",22.5,97.5
"r2","c16","R4","r2-c16",17.5,97.5
"r3","c16","R4","r3-c16",12.5,97.5
"r4","c16","R4","r4-c16",7.5,97.5
"r5","c16","R4","r5-c16",2.5,97.5
"r6","c16","R4","r6-c16",-2.5,97.5
"r7","c16","R4","r7-c16",-7.5,97.5
"r8","c16","R4","r8-c16",-12.5,97.5
"r9","c16","R3","r9-c16",-17.5,97.5
"r10","c16","R3","r10-c16",-22.5,97.5
"r11","c16","R3","r11-c16",-27.5,97.5
"r12","c16","R3","r12-c16",-32.5,97.5
"r13","c16","R3","r13-c16",-37.5,97.5
"r1","c17","Other","r1-c17",22.5,102.5
"r2","c17","R4","r2-c17",17.5,102.5
"r3","c17","R4","r3-c17",12.5,102.5
"r4","c17","R4","r4-c17",7.5,102.5
"r5","c17","R4","r5-c17",2.5,102.5
"r6","c17","R4","r6-c17",-2.5,102.5
"r7","c17","R4","r7-c17",-7.5,102.5
"r8","c17","R4","r8-c17",-12.5,102.5
"r9","c17","R3","r9-c17",-17.5,102.5
"r10","c17","R3","r10-c17",-22.5,102.5
"r11","c17","R3","r11-c17",-27.5,102.5
"r12","c17","R3","r12-c17",-32.5,102.5
"r13","c17","R3","r13-c17",-37.5,102.5
